TOA5,29037,CR800,29037,CR800.Std.27,CPU:Geophys2_GPSProbe.CR8,60528,OperatorView,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Counter,DepthCm,BattVolts,latitude_a,latitude_b,Longitude_a,Longitude_b,fix_quality,nmbr_satellites,HDOP,altitudeB,DepthVolts,LatitudeDDDDD,LongitudeDDDDD,month,dayofmonth,hourofday,minutes,seconds,microseconds
TS,RN,,,,degrees,minutes,degrees,minutes,unitless,,,,,,,,,,,,
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
2017-11-14 15:14:15.25,5724,999001,-0.19,13.75,65,2.4704,-147,-25.0147,1,11,0.8,729,0,0.04117334,-0.4169117,11,14,15,14,15,250000
2017-11-14 15:14:15.75,5725,999002,-0.13,13.74,65,2.4704,-147,-25.0147,2,11,0.8,728.9,0,0.04117334,-0.4169117,11,14,15,14,15,750000
2017-11-14 15:14:16.25,5726,999003,119.9,13.74,65,2.4704,-147,-25.0146,2,11,0.8,728.8,7.737,0.04117334,-0.41691,11,14,15,14,16,250000
2017-11-14 15:14:17,5727,999004,119.9,13.74,65,2.4703,-147,-25.0146,2,11,0.8,728.9,7.737,0.04117167,-0.41691,11,14,15,14,17,0
2017-11-14 15:14:17.5,5728,999005,-0.13,13.74,65,2.4701,-147,-25.0148,2,11,0.8,728.1,0,0.04116833,-0.4169133,11,14,15,14,17,500000
2017-11-14 15:14:18.25,5729,999006,119.9,13.73,65,2.4702,-147,-25.0153,2,11,0.8,727.9,7.737,0.04117,-0.4169217,11,14,15,14,18,250000
2017-11-14 15:14:19,5730,999007,-0.13,13.73,65,2.4701,-147,-25.0153,2,11,0.8,728,0,0.04116833,-0.4169217,11,14,15,14,19,0
2017-11-14 15:14:19.75,5731,999008,119.9,13.74,65,2.4702,-147,-25.0152,2,11,0.8,728,7.737,0.04117,-0.41692,11,14,15,14,19,750000
2017-11-14 15:14:20.5,5732,999009,-0.19,13.73,65,2.4702,-147,-25.0149,2,11,0.8,728,0,0.04117,-0.416915,11,14,15,14,20,500000
2017-11-14 15:14:21.5,5733,999010,120,13.73,65,2.4703,-147,-25.015,2,11,0.8,728.1,7.737,0.04117167,-0.4169167,11,14,15,14,21,500000
2017-11-14 15:24:38.5,5735,100002,78.92,13.62,65,2.4176,-147,-25.077,2,11,0.8,717.6,5.093,0.04029333,-0.41795,11,14,15,24,38,500000
2017-11-14 15:24:39,5736,100003,76.84,13.61,65,2.4177,-147,-25.0769,2,11,0.8,717.7,4.96,0.040295,-0.4179483,11,14,15,24,39,0
2017-11-14 15:24:39.5,5737,100004,77.35,13.56,65,2.418,-147,-25.0769,2,11,0.8,718.8,4.992,0.0403,-0.4179483,11,14,15,24,39,500000
2017-11-14 15:24:40.25,5738,100005,72.8,13.56,65,2.4179,-147,-25.0758,2,11,0.8,718.3,4.699,0.04029834,-0.41793,11,14,15,24,40,250000
2017-11-14 15:24:40.75,5739,100006,72.41,13.55,65,2.4175,-147,-25.0739,2,11,0.8,718,4.674,0.04029167,-0.4178983,11,14,15,24,40,750000
2017-11-14 15:24:41.25,5740,100007,68.03,13.55,65,2.4175,-147,-25.0727,2,10,0.8,718.5,4.392,0.04029167,-0.4178783,11,14,15,24,41,250000
